trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.984564360537801}",20,0,-84.58472773140043,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9843805373137057}",30,0,-122.59645521631697,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.9841956345974788}",20,1,-43.367482490065655,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.9840096525918887}",20,2,-124.30289046723486,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 3}",1
172,False,"{'a': 0.5, 'e': 0.983822591500887}",25,0,-187.32169205441926,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.9836344515296088}",20,0,-84.6797681299973,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.9834452328843724}",25,0,-179.3311915123738,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.9832549357726788}",20,0,-149.07381762203804,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
176,False,"{'a': 0.5, 'e': 0.9830635604032116}",25,0,-212.2071415395517,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
177,False,"{'a': 0.5, 'e': 0.9828711069858374}",25,0,-118.19954496998561,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9826775757316042}",20,0,-139.57880537561803,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.9824829668527427}",25,0,-174.98215392373697,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 3}",0
180,False,"{'a': 0.5, 'e': 0.9822872805626649}",25,0,-61.13914311660289,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9820905170759644}",25,0,-170.55545092729704,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9818926766084162}",20,0,-62.89234647551251,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
